text,label
RT @user #jeopardy Where everyone will be watching the Ravens vs Eagles game THIS Thursday... What is @user ?  #goodAnswer,pos
ordered my back pack off of Amazon 3 weeks ago and it turns out they lost my package and school starts tomorrow #sick,neg
"""All you HNN All-Stars know who I want to send a big birthday shoutout to...Prince George!  Happy 2nd birthday, your future majesty!""",pos
That look on Putin's face shaking Obama's hand is priceless.,pos
@user YOU BROKE THE US TRADE EMBARGO WITH CUBA AND BRAGGED ABOUT IT?!!! What is wrong with you? #trumpthecrook,neg
@user only if fatty Kim the third finds Twitter,neg
"As Aleppo is being liberated from these false defenders of freedom, the scene from their abandoned posts resemble Hell on Earth.",neg
I know that top politicians are sometimespedo-sadists #pizzagateI know that vaccines can have unsafe serumsI know fear makes people crazy,neg
Chris Evans takes the steering wheel when Top Gear races back to BBC Two in May:,pos
ive been to the library twice and both times ive sat in swanky chairs watching netflix #lit #collegegoals #woo,pos
Gotta get up hecka early tomorrow but I'm just gonna stay up and watch Naruto,pos
Check out the amazing World Music Festival organized for the 7th consecutive year by Rialto theatre in Limassol!,pos
That awkward moment when @user is in Disneyland and you're not.. You better be there when I go in November hint hint,pos
"""First day of open hitting is Monday! ...check out the new facility and get some swings in from 3-4 @ The Dugout (35595 Curtis, Eastlake)""",pos
Possibly going to Comic Con in Santa Fe. Can I make a Mikasa scout outfit before the 24th it's on!,pos
I may spend a lot of my free time riding on random elevators hoping for a chance encounter with Bill Murray...,pos
Listening to Bad Blood on the radio 1st time: this is awful 8: people like this? 15: that bass line isn't so bad  Now: NOW WE GOT BAD BLOOD,neg
A beauty by Curt Montana Moore,pos
"""I'll give you a hint, you wanna play it but you think it'll be too hard. """"OH OH OH PRAISE THE SUN."""" """"Yes, Dark Souls.""""""",pos
#MLB 5* Run Line banger and two 4* bonus plays!Perfect #NFL record on the line 3-0(100%) tonight with a MNF steam move LLLINKKK,pos
"""I am hosting the Open Lobby! Saturday 15th ( Tomorrow ) 1:00PM - 3:00PM UK Time Gamertag \""""""""iL Ash Li\""""""""  Be there guys it\u2019s going 2 be awesome!""",pos
Vice President Joe Biden gave his most striking and somber answer yet on Thursday about whether he plans to run...,pos
If anyone wants to buy Kendrick Lamar tickets for the 19th and 20th of December let me know!!!!!!!!!,pos
Neither #romney nor #Giuliani For Sec of StatePick someone else@KellyannePolls @user @user,neg
Monday night YOGA! Well you all brought some sunshine to the studio for my first day back teaching.  Ashtanga...,pos
Please believe on Sept 9th I will be in the theater watching Kevin Hart's new movie...,pos
@user there are no gains in vegetarianism.,neg
Purim\u2019s Dancer runs in the 7th @user today. The local goat must be wishing her good luck,pos
LEO SEASON we still at it!!!! JETT LOUNGE this Sunday !!!!,pos
"""Strictly, X Factor, Big Brother - Saturday night TV gonna leave me with square eyes!""",pos
"""Tomorrow morning, while twilight is still dim, look for #Mars beneath the #Crescent_Moon""",pos
My uncle from Cali just informed me he routinely plays golf with Mike Mccormick aka a former Cy Young winner,pos
"I'm crying! :O  Thank you @user for giving Hannibal a home for 3 years, and doing your best to keep it there",pos
@user praying for you and your beautiful family!! May Frank Gifford rest in peace.,pos
"""Just posted my video from my trip to Milan for the MTV EMAs back in October. It's pretty cool. I mean, I'd watch...",pos
I'm so glad my boss scheduled me till 11 on the Friday night before SATs #thankyoubitch,pos
@user @user then this shit better fucking end tonight Briana and I don't want to hear anything from you tomorrow or ever,neg
"""I CANNOT wait until college football! Sept 14th, flying down with my brother to the Florida v Tennessee game, it's gonna be titss""",pos
I think people are forgetting that HRC is STILL under investigation for Clinton Foundation. This is a seperate issu…,neg
Grateful Dead show in San diego on the 7th. Save the date.,pos
"""Kris Bryant with another walk off home run in the 9th, even as a White Sox fan this is fun too watch..""",pos
So we're likely to face Atletico in the 2nd round and Barca in the QFs (if we go through)... This wont be easy #CopaDelRey,neg
Kim Kardashian and Kanye West Welcome 2nd Child: A Boy: We think you'll be pleased to know that the new arriva...,pos
Kris Bryant singles. That must feel good. B2B singles. Men on 1st and 2nd with one out.,pos
So I went to a school to fill out a form with a #2 pencil OMIGOD JUST REALIZED I ACCIDENTALLY TOOK THE SAT INSTEAD OF VOTING TODAY,neg
The only reason Dustin Johnson didn't play  well is because it's a Sunday.  Luckily for him the final round is on Monday.  #TheOpen2015,pos
@user This Paul Dunne story is Unbelievable but I hope this Legend does it Tomorrow! #helookslikemaryrobinson,pos
"It's about time: Why watchOS 2 convinced me to buy an Apple Watch   On April 24th, as many of my []",pos
Its the right time to vote harder and harder for gaga because tomorrow will be too late  #MTVStars Lady Gaga,pos
sad that my dunkin won't have pumpkin coffee till the 29th,neg
"Now you will have company Che Guevara, Chavez & others...We wish the same for Maduro & North korea leader to end th…",neg
Reading about euthanasia stories for people with cerebral palsy reminds me how fortunate I was that my parents gave a damn.,neg
Who wants to see the Foo Fighters in Indianapolis tomorrow?  I have two tickets that I'm not going to get to use. So bummed!,neg
"""Pop bottles, make love, Thug passion, Red Bottoms, Mon Claire, high fashion""",pos
@user We've had 2 world wars. The 3rd will be a very different one and it will be down to Muslims &amp; their hatred of us,neg
"""Yeah, everything is Zayn's fault.Even if we get a hurricane tomorrow, it's gonna be Zayn's fault.u guys r disgusting",neg
Been listening to Careless World - Rise of the King  Cannot wait for the 23rd  #rackcitybitch  @user  @user,pos
"""Well, now that Big Brother is On Demand from when it didn't record all of it on Sunday... Time to catch up. #BB17""",pos
Super Sunday indeed. After the footy & cricket\u002c SS4 has Buffalo-NY Jets & Houston-Denver; C4 airs NE-Baltimore; @user has Houston-Denver,pos
"@user using Office 2013's Bing dictionary. type in ""bound."" This is the 3rd picture they show me. WTF?...",neg
Congratulations new appointed president cbc ward 2 Mazher Ali Awan and ward 3 Agha Zulfiqar Muhammad Salman Khan...,pos
"Clinton cartel at work. Leftists don't understand ""good will"". Prosecute fully all. No sympathy @user",neg
@user so glad I was the grand prize winner to see Zac Brown Band I can't wait til October :),pos
"""Sunday Candy is a better song than U2 or Temper Trap have ever written. And it's a rapper and his live band, so,""",pos
Joe Biden sat on his hands all this time never disagreeing with O.Too late Joe. U blew it.,neg
"Hairdresser with 4yo tomorrow.  He wants it ""like Spiderman"" (not Peter P) / no fringe (for better face painting) / ""with Batman ears"".",pos
Seen Equalizer on Monday she said she wanna see it again lol. Real talk that shit was awesome,pos
Tomorrow it's going to be July 63 and still no frank ocean album,neg
I hope Paul Dunne blows up tomorrow only because UAB beats us in the tourney... #stillnotoverit,neg
Lady Gaga On Melania's Anti-Bully Speech: ‘Your Husband Is 1 Of The Most Notorious Bullies',neg
@user thanks lovey. We are going to see foo fighters next Sunday so that's getting me through!!,pos
God bless you Mr. Frank Gifford. May you rest in peace.,pos
Happy 22nd Birthday my sunshine @user . Love you more than Niall loves golf daddy ..,pos
Bob Marley vs Funkstar de Luxe ~ Sun is Shining (Extended Club Mix) Gonna be a Hot One this weekend in the UK.,pos
More snow tomorrow Wooooooooooooooo! @user @user @user @user @user,pos
"""Bolton Wanderers, who are 18th in the Championship after winning only three of their 10 matches, have sacked their manager Owen Coyle.""",neg
@user ohh :D i just came back from Melaka :D will go to Sepang tomorrow -.-,pos
"@user as part of the #furfest hotel liaison team, THANK YOU for your incredible hospitality this weekend! You…",pos
@user Ready to see @user  win the championship for the 16th time.  Tying the legend Ric Flair,pos
Hillary Clinton won the popular vote? THINK AGAIN! Voter fraud a sham! (VIDEO) via @user,neg
"""The FIA ran the race the right way - Lauda: Niki Lauda believes that without the benefit of hindsight, Sunday'...",pos
@user May be you are unfit for Swachh Bharat,neg
Wakey Wakey! It's SATURDAY SHOPPING Day! Make sure to awaken your GORGEOUS eyes with Younique's 3D Fiber Lash...,pos
Friday is going to be John Cena Appreciation day. Show your love for the great one by wearing jean shorts. Rt to spread awareness,pos
Cant believe that just in March I was judging PawSox Idol with Miss MA teen @user Tonight she's competing for Miss teen USA! #goodluck,pos
Sunday and a lovely #RaggedTalk on Skiing in Scotland by the freewheelin' Patrick D Whelan. 12:45OutoftheBlue&DrillHall #skiing #newnickname,pos
Like a good neighbor State Farm is there...with a check for the damage to my truck...hopefully tomorrow!,pos
@user @user I going on the 9th hope to find it hope you guys to good luck to all of us Madonna fans,pos
"""#TBT - Who doesn't love it when the ice cream truck comes to visit?  National Ice Cream Day is Sunday, July 19th!",pos
HAPPY THANKSGIVING! We are closed for the holiday & hope you enjoy this time with friends & family. Come see us Mon…,pos
"@user @user ....why if one disagrees with some one on twitter,Facebook etc.,you immediately become a hater,how about critic ?",neg
"If you're dumb enough to believe the Planned Parenthood sting videos, you are complicit in burning an office",neg
Also just now starting Miss USA so nobody text me about top 5 who wins etc Bc I may kill u,neg
"MT @user My 1st read of the day from @user Congress returns to tight deadlines, key farts on Iran deal, Planned Parenthood",neg
@user Glam Girls want to invited everyone to enjoy Halloween with them tomorrow at The Grenader on Riverview and Rosedale from 5-8pm,pos
How #deeplearning is powering video #SEO:,pos
@user Martin Atkinson the man in the middle on Sunday. #NUFC have never won an away game with him in charge. 6 Losses and 4 Draws,neg
