text,quality,delivery
"a real disappointment for this Cook fan. I have read almost every one of Cook's books, and I found Abduction to be such a disappointment. It is sort of a combination of Man from Atlantis and Lost in Space, and not done as well as either of those B-grade t.v. shows. The premise of the book was far-fetched, and the characters were fairly steroetypical. I got lost in the technical jargon during Arak's explanations to Suzanne (the glossary in the back of the book helped, but not all of the terms were there), and I don't like to read a fiction book with the aid of a dictionary. The ending was very trite, not all that surprising, and disappointing in that the reader never really knows what happens to Suzanne. I get the feeling that Cook was writing this one to sell as a made for t.v. movie and lost sight of the higher quality writing that he is capable of. If you are a Cook fan like I am, read it so that you can say you've read it; otherwise, don't waste your time.",neg,neg
"doesn't actually snap!. Received case well packaged and fast shipping! The case itself form fits phone fine, but does not snap well together. The first time I tried one of the top tabs broke. So for temporary purposes until I get a new case I used a dab of Gorilla glue to hold the upper two halves together. Obviously if I have to reset the phone this will be the end of the case. Only 3 bucks, but I would put that money towards a soft silicone case.",neg,pos
"Some Hits/Some Misses. Clay Aiken has an amazingly awesome voice. He can be powerful and passionate, playful, rocky, and sensitive and soulful.Hits:InvisibleTouchPerfect DayThe WayNo More Sad SongsRun To MeMisses:I Will Carry You-This song has a good message, but it's lost in the monotonous tempo and forgettable sound. It's a very boring and unmemorable song.Shine-This song has the worst lyrics of them all. ""Hey Butterfly, open your weary eyes"". It totally drowns out Clay's voice and makes him sound like someone he is not.Possible Hits:I Survived YouMeasure of a ManWhen You Say You Love me",pos,neg
Helped with Management class!!!. This book was extremely helpful and was pre-owned when I bought it but that actually helped me!!! This book helped me exceed in the class and helped ensuring that my major was the perfect fit for me! Shipped quickly and was in good condition! Enjoyed the book very much.,pos,pos
"Transmaterial Damage. Book was probably excellent as expected, but it arrived at my Post Office box in Darwin Australia badly damaged. I tried to contact Amazon to complain, and send photos of the damage, but the Amazon delivery site does not provide a 'complaint' option, and the Amazon home site does not appear to have a 'contact us' option.I know there aren't many real live people out there in the commercial world, but if anyone from Amazon happens to read this, could you please contact me and advise how I can send you details of the damage?",neg,neg
"2 Stars Merely for Mr. Dancy. This movie is so weak I can barely explain how it has damaged me. It seems to rest somewhere between mainstream and indie styles, but in either genre it is a hollow movie. The only good thing about this movie is Hugh Dancy. I love him as an actor (and it doesn't hurt that he's attractive), but I am horribly disappointed in his choice to participate in this film. Bad Hugh. Slap on the wrist and let's all move on, okay? If you need me I'll be in my room, crouched in the fetal position and whimpering softly to myself. Need.....developed.....script.....NOOOOOOOOOOOOOOOOOO!",neg,neg
"Love my new mixer!. I absolutely love this mixer! Looks great - even better than the picture. Bowl is huge, which I like because I plan to use it for large batches. Power is amazing - a seriously professional mixer at a great price! (My son uses one like it in his restaurant kitchen!) Best deal I found anywhere. Smaller batches may seem a little lost in it, but they still get mixed well. It is much larger and heavier than I expected, however, so be sure you have plenty of room on your counter. But it is pretty enough to leave out all the time!",pos,neg
Book. The book arrived quickly in the mail. It was one of my favorite books when I was a girl and thought I'd get it for my kids. They think it's a great book too.,pos,pos
"Just as it appears. I bought this as a gift...so I didn't read it, but my SIL who is 14 likes it. It shipped quickly.",pos,pos
"Misleading Description on DVD & Disney Site. Don't be misled by the DVD description or the description on the Disney website.This is NOT a movie!This is 3 separate episodes that have been shown on TV over and over:The Treasure Behind The Little Red Door, Super Fast, and The Great Sky Race RematchThe descriptions do not tell you this, they lead you to believe it's one long episode/movie...my kids were sooo excited! BIG disappointment because they'd seen all the episodes so many times on TV...nothing new at all.These DVD ""movies"" are actually episode collections - don't be misled!",neg,pos
