ticket_id,texto
1,Mi sesión se cierra automáticamente cada 5 minutos. El tiempo de sesión debería ser de 8 horas según nuestra configuración corporativa. ¿Puede revisar la configuración de nuestro tenant?
2,cambié de departamento y ahora mi usuario no tiene acceso a las carpetas del nuevo equipo. ¿quién puede darme permisos?
3,la cuenta de mi equipo está compartida y alguien cambió la contraseña sin avisarnos. ahora nadie puede entrar
4,no puedo entrar desde hace dos días. el soporte me dijo que estaba resuelto pero sigue igual. este es mi tercer ticket sobre lo mismo.
5,"Me dirijo a ustedes para reportar un problema de acceso. Mi cuenta parece estar bloqueada tras varios intentos fallidos, aunque estoy seguro de que la contraseña es correcta. Por favor, necesito asistencia cuanto antes."
6,El sistema de autenticación no me permite entrar. He recibido un código de verificación en dos pasos pero cuando lo introduzco dice que ha expirado. Esto ocurre en menos de 30 segundos desde que llega el SMS.
7,los usuarios de mi organización tienen login pero no pueden ver los datos del último mes. ¿es un problema de acceso a datos o de los datos en sí?
8,"Hola, soy el administrador del sistema y necesito transferir la cuenta de propietario a otro usuario. El usuario actual ya no está en la empresa y necesitamos ese acceso."
9,tras actualizacion de chrome ya no funciona el login automatico con contraseña guardada. tengo que poner las credenciales manualmente cada vez
10,me dice que no tengo permisos para ver los informes pero antes sí podía. no sé si me han quitado el acceso o si es un bug
11,no puedo exportar nada porque dice 'no autorizado'. mis compañeros sí pueden. supongo que es un problema de roles
12,"buenos días, necesito restablecer el acceso para 15 usuarios de golpe tras una migración. ¿hay forma de hacer reset masivo de contraseñas?"
13,Hemos detectado que varios usuarios de nuestra organización no pueden acceder después de la actualización del sistema del pasado lunes. El problema parece relacionado con los tokens de sesión.
14,el administrador dice que me ha dado acceso admin pero cuando entro sigo viendo solo opciones básicas. ¿cuánto tarda en propagarse el cambio?
15,la app del móvil me pide actualización obligatoria pero en la store no aparece ninguna actualización. así no puedo entrar
16,"hola, necesito acceso de solo lectura para un consultor externo. ¿cómo creo una cuenta con permisos limitados?"
17,me han dado de alta en el sistema pero no me llegó el email de bienvenida con la contraseña inicial. ¿cómo la obtengo?
18,Necesito revocar el acceso de un ex-empleado con urgencia. He buscado la opción en el panel pero no la encuentro. Por seguridad es importante que esto se haga cuanto antes.
19,Necesito restablecer mi contraseña pero el correo electrónico asociado a la cuenta ya no existe. ¿Hay algún proceso alternativo de verificación de identidad?
20,oye resulta que me he olvidado la contraseña y el link de reseteo tampoco me llega al email... raro
21,entro en la web pero la extensión del navegador dice que no está autenticada aunque en la web sí aparezco como logueado
22,entro bien pero a los 2 minutos me echa y tengo que volver a poner la contraseña. todo el día así. insoportable
23,nuestro cliente externo necesita acceso a un proyecto específico. ¿cómo invito usuarios externos sin darles acceso a todo?
